name,e,n,u,roll,pitch,yaw
aruco_marker_5,-97.3988342295,68.4287948608,3.853158474,2.7093537970,1.5707900273,-3.1408861898
aruco_marker_4_1,-72.5414657593,74.8781433105,23.4892425537,0.3495391902,1.4420900290,0.7867001886
aruco_marker_3,-61.8448905945,80.1436080933,7.8816661835,-2.9840699856,1.2723399928,-2.5439699729
aruco_marker_1,-78.8555068970,109.8188781738,3.8079309464,2.7093537970,1.5707900273,-3.1408861898
aruco_marker_4_2,-96.9238967896,104.2799987793,8.5504398346,-2.9952591423,1.2871588988,-2.5560711177
aruco_marker_0,-105.0727844238,100.7721099854,23.5399646759,0.3378409862,1.4445500016,0.7744779858
aruco_marker_2_1,-103.5649871826,99.7337265015,19.8078727722,1.4788500379,0.2464029939,3.1121099963
aruco_marker_2_2,-101.2580032349,100.0000000000,12.2202997208,1.4610009702,0.6129622287,3.0646405630
aruco_marker_2_3,-71.1409912109,74.0306396484,20.1738681793,1.5346099484,0.1174869930,3.0243400012
aruco_marker_2_4,-70.5141525269,74.3680419922,15.4188995361,1.4769700260,0.3216460094,3.1065600054
